 TITLE = "GAUGE_position"
 VARIABLES =  "N", "X", "Y", "D_TOL", "D_ACTUAL" 
 ZONE T= "Model_position" I =          160
        91   0.7000   0.0000   0.0090   0.0090
        92   0.7100   0.0000   0.0033   0.0033
        93   0.7200   0.0000   0.0052   0.0052
        94   0.7300   0.0000   0.0081   0.0081
        95   0.7400   0.0000   0.0062   0.0062
        96   0.7500   0.0000   0.0059   0.0059
        97   0.7600   0.0000   0.0017   0.0017
        98   0.7700   0.0000   0.0089   0.0089
        99   0.7800   0.0000   0.0079   0.0079
       100   0.7900   0.0000   0.0092   0.0092
       101   0.8000   0.0000   0.0132   0.0132
       102   0.8100   0.0000   0.0032   0.0032
       103   0.8200   0.0000   0.0064   0.0064
       104   0.8300   0.0000   0.0036   0.0036
       105   0.8400   0.0000   0.0101   0.0101
       106   0.8500   0.0000   0.0073   0.0073
       107   0.8600   0.0000   0.0143   0.0143
       108   0.8700   0.0000   0.0085   0.0085
       109   0.8800   0.0000   0.0016   0.0016
       110   0.8900   0.0000   0.0038   0.0038
       111   0.9000   0.0000   0.0062   0.0062
       112   0.9100   0.0000   0.0114   0.0114
       113   0.9200   0.0000   0.0014   0.0014
       114   0.9300   0.0000   0.0066   0.0066
       115   0.9400   0.0000   0.0034   0.0034
       116   0.9500   0.0000   0.0134   0.0134
       117   0.9600   0.0000   0.0130   0.0130
       118   0.9700   0.0000   0.0079   0.0079
       119   0.9800   0.0000   0.0124   0.0124
       120   0.9900   0.0000   0.0195   0.0195
       121   1.0000   0.0000   0.0105   0.0105
       122   1.0500   0.0000   0.0125   0.0125
       123   1.1000   0.0000   0.0120   0.0120
       124   1.1500   0.0000   0.0095   0.0095
       125   1.2000   0.0000   0.0063   0.0063
       126   1.2500   0.0000   0.0081   0.0081
       127   1.3000   0.0000   0.0084   0.0084
       128   1.3500   0.0000   0.0176   0.0176
       129   1.4000   0.0000   0.0122   0.0122
       130   1.4500   0.0000   0.0075   0.0075
       131   1.5000   0.0000   0.0069   0.0069
       132   1.5500   0.0000   0.0083   0.0083
       133   1.6000   0.0000   0.0050   0.0050
       134   1.6500   0.0000   0.0096   0.0096
       135   1.7000   0.0000   0.0044   0.0044
       136   1.7500   0.0000   0.0083   0.0083
       137   1.8000   0.0000   0.0118   0.0118
       138   1.8500   0.0000   0.0180   0.0180
       139   1.9000   0.0000   0.0170   0.0170
       140   1.9500   0.0000   0.0094   0.0094
       141   2.0000   0.0000   0.0089   0.0089
       142   2.0500   0.0000   0.0148   0.0148
       143   2.1000   0.0000   0.0060   0.0060
       144   2.1500   0.0000   0.0084   0.0084
       145   2.2000   0.0000   0.0087   0.0087
       146   2.2500   0.0000   0.0053   0.0053
       147   2.3000   0.0000   0.0071   0.0071
       148   2.3500   0.0000   0.0068   0.0068
       149   2.4000   0.0000   0.0088   0.0088
       150   2.4500   0.0000   0.0052   0.0052
       151   2.5000   0.0000   0.0068   0.0068
       152   2.5500   0.0000   0.0017   0.0017
       153   2.6000   0.0000   0.0103   0.0103
       154   2.6500   0.0000   0.0193   0.0193
       155   2.7000   0.0000   0.0108   0.0108
       156   2.7500   0.0000   0.0002   0.0002
       157   2.8000   0.0000   0.0082   0.0082
       158   2.8500   0.0000   0.0057   0.0057
       159   2.9000   0.0000   0.0214   0.0214
       160   2.9500   0.0000   0.0063   0.0063
